REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
REGION1,ATSODIFH1,S04B2,2052,0.154469441
REGION1,ATSODIFH1,S04B2,2053,0.154469441
REGION1,ATSODIFH1,S04B2,2054,0.154469441
REGION1,ATSODIFH1,S04B2,2055,0.154469441
REGION1,ATSODIFH1,S04B2,2056,0.154469441
REGION1,ATSODIFH1,S04B2,2057,0.154469441
REGION1,ATSODIFH1,S04B2,2058,0.154469441
REGION1,ATSODIFH1,S04B2,2059,0.154469441
REGION1,ATSODIFH1,S04B2,2060,0.154469441
REGION1,ATSODIFH1,S04B3,2015,0.0
REGION1,ATSODIFH1,S04B3,2016,0.0
REGION1,ATSODIFH1,S04B3,2017,0.0
REGION1,ATSODIFH1,S04B3,2018,0.0
REGION1,ATSODIFH1,S04B3,2019,0.0
REGION1,ATSODIFH1,S04B3,2020,0.0
REGION1,ATSODIFH1,S04B3,2021,0.0
REGION1,ATSODIFH1,S04B3,2022,0.0
REGION1,ATSODIFH1,S04B3,2023,0.0
REGION1,ATSODIFH1,S04B3,2024,0.0
REGION1,ATSODIFH1,S04B3,2025,0.0
REGION1,ATSODIFH1,S04B3,2026,0.0
REGION1,ATSODIFH1,S04B3,2027,0.0
REGION1,ATSODIFH1,S04B3,2028,0.0
REGION1,ATSODIFH1,S04B3,2029,0.0
REGION1,ATSODIFH1,S04B3,2030,0.0
REGION1,ATSODIFH1,S04B3,2031,0.0
REGION1,ATSODIFH1,S04B3,2032,0.0
REGION1,ATSODIFH1,S04B3,2033,0.0
REGION1,ATSODIFH1,S04B3,2034,0.0
REGION1,ATSODIFH1,S04B3,2035,0.0
REGION1,ATSODIFH1,S04B3,2036,0.0
REGION1,ATSODIFH1,S04B3,2037,0.0
REGION1,ATSODIFH1,S04B3,2038,0.0
REGION1,ATSODIFH1,S04B3,2039,0.0
REGION1,ATSODIFH1,S04B3,2040,0.0
REGION1,ATSODIFH1,S04B3,2041,0.0
REGION1,ATSODIFH1,S04B3,2042,0.0
REGION1,ATSODIFH1,S04B3,2043,0.0
REGION1,ATSODIFH1,S04B3,2044,0.0
REGION1,ATSODIFH1,S04B3,2045,0.0
REGION1,ATSODIFH1,S04B3,2046,0.0
REGION1,ATSODIFH1,S04B3,2047,0.0
REGION1,ATSODIFH1,S04B3,2048,0.0
REGION1,ATSODIFH1,S04B3,2049,0.0
REGION1,ATSODIFH1,S04B3,2050,0.0
REGION1,ATSODIFH1,S04B3,2051,0.0
REGION1,ATSODIFH1,S04B3,2052,0.0
REGION1,ATSODIFH1,S04B3,2053,0.0
REGION1,ATSODIFH1,S04B3,2054,0.0
REGION1,ATSODIFH1,S04B3,2055,0.0
REGION1,ATSODIFH1,S04B3,2056,0.0
REGION1,ATSODIFH1,S04B3,2057,0.0
REGION1,ATSODIFH1,S04B3,2058,0.0
REGION1,ATSODIFH1,S04B3,2059,0.0
REGION1,ATSODIFH1,S04B3,2060,0.0
REGION1,ATSODIFH1,S05B1,2015,0.0
REGION1,ATSODIFH1,S05B1,2016,0.0
REGION1,ATSODIFH1,S05B1,2017,0.0
REGION1,ATSODIFH1,S05B1,2018,0.0
REGION1,ATSODIFH1,S05B1,2019,0.0
REGION1,ATSODIFH1,S05B1,2020,0.0
REGION1,ATSODIFH1,S05B1,2021,0.0
REGION1,ATSODIFH1,S05B1,2022,0.0
REGION1,ATSODIFH1,S05B1,2023,0.0
REGION1,ATSODIFH1,S05B1,2024,0.0
REGION1,ATSODIFH1,S05B1,2025,0.0
REGION1,ATSODIFH1,S05B1,2026,0.0
REGION1,ATSODIFH1,S05B1,2027,0.0
REGION1,ATSODIFH1,S05B1,2028,0.0
REGION1,ATSODIFH1,S05B1,2029,0.0
REGION1,ATSODIFH1,S05B1,2030,0.0
REGION1,ATSODIFH1,S05B1,2031,0.0
REGION1,ATSODIFH1,S05B1,2032,0.0
REGION1,ATSODIFH1,S05B1,2033,0.0
REGION1,ATSODIFH1,S05B1,2034,0.0
REGION1,ATSODIFH1,S05B1,2035,0.0
REGION1,ATSODIFH1,S05B1,2036,0.0
REGION1,ATSODIFH1,S05B1,2037,0.0
REGION1,ATSODIFH1,S05B1,2038,0.0
REGION1,ATSODIFH1,S05B1,2039,0.0
REGION1,ATSODIFH1,S05B1,2040,0.0
REGION1,ATSODIFH1,S05B1,2041,0.0
REGION1,ATSODIFH1,S05B1,2042,0.0
REGION1,ATSODIFH1,S05B1,2043,0.0
REGION1,ATSODIFH1,S05B1,2044,0.0
REGION1,ATSODIFH1,S05B1,2045,0.0
REGION1,ATSODIFH1,S05B1,2046,0.0
REGION1,ATSODIFH1,S05B1,2047,0.0
REGION1,ATSODIFH1,S05B1,2048,0.0
REGION1,ATSODIFH1,S05B1,2049,0.0
REGION1,ATSODIFH1,S05B1,2050,0.0
REGION1,ATSODIFH1,S05B1,2051,0.0
REGION1,ATSODIFH1,S05B1,2052,0.0
REGION1,ATSODIFH1,S05B1,2053,0.0
REGION1,ATSODIFH1,S05B1,2054,0.0
REGION1,ATSODIFH1,S05B1,2055,0.0
REGION1,ATSODIFH1,S05B1,2056,0.0
REGION1,ATSODIFH1,S05B1,2057,0.0
REGION1,ATSODIFH1,S05B1,2058,0.0
REGION1,ATSODIFH1,S05B1,2059,0.0
REGION1,ATSODIFH1,S05B1,2060,0.0
REGION1,ATSODIFH1,S05B2,2015,0.102812349
REGION1,ATSODIFH1,S05B2,2016,0.102812349
REGION1,ATSODIFH1,S05B2,2017,0.102812349
REGION1,ATSODIFH1,S05B2,2018,0.102812349
REGION1,ATSODIFH1,S05B2,2019,0.102812349
REGION1,ATSODIFH1,S05B2,2020,0.102812349
REGION1,ATSODIFH1,S05B2,2021,0.102812349
REGION1,ATSODIFH1,S05B2,2022,0.102812349
REGION1,ATSODIFH1,S05B2,2023,0.102812349
REGION1,ATSODIFH1,S05B2,2024,0.102812349
REGION1,ATSODIFH1,S05B2,2025,0.102812349
REGION1,ATSODIFH1,S05B2,2026,0.102812349
REGION1,ATSODIFH1,S05B2,2027,0.102812349
REGION1,ATSODIFH1,S05B2,2028,0.102812349
REGION1,ATSODIFH1,S05B2,2029,0.102812349
REGION1,ATSODIFH1,S05B2,2030,0.102812349
REGION1,ATSODIFH1,S05B2,2031,0.102812349
REGION1,ATSODIFH1,S05B2,2032,0.102812349
REGION1,ATSODIFH1,S05B2,2033,0.102812349
REGION1,ATSODIFH1,S05B2,2034,0.102812349
REGION1,ATSODIFH1,S05B2,2035,0.102812349
REGION1,ATSODIFH1,S05B2,2036,0.102812349
REGION1,ATSODIFH1,S05B2,2037,0.102812349
REGION1,ATSODIFH1,S05B2,2038,0.102812349
REGION1,ATSODIFH1,S05B2,2039,0.102812349
REGION1,ATSODIFH1,S05B2,2040,0.102812349
REGION1,ATSODIFH1,S05B2,2041,0.102812349
REGION1,ATSODIFH1,S05B2,2042,0.102812349
REGION1,ATSODIFH1,S05B2,2043,0.102812349
REGION1,ATSODIFH1,S05B2,2044,0.102812349
REGION1,ATSODIFH1,S05B2,2045,0.102812349
REGION1,ATSODIFH1,S05B2,2046,0.102812349
REGION1,ATSODIFH1,S05B2,2047,0.102812349
REGION1,ATSODIFH1,S05B2,2048,0.102812349
REGION1,ATSODIFH1,S05B2,2049,0.102812349
REGION1,ATSODIFH1,S05B2,2050,0.102812349
REGION1,ATSODIFH1,S05B2,2051,0.102812349
REGION1,ATSODIFH1,S05B2,2052,0.102812349
REGION1,ATSODIFH1,S05B2,2053,0.102812349
REGION1,ATSODIFH1,S05B2,2054,0.102812349
REGION1,ATSODIFH1,S05B2,2055,0.102812349
REGION1,ATSODIFH1,S05B2,2056,0.102812349
REGION1,ATSODIFH1,S05B2,2057,0.102812349
REGION1,ATSODIFH1,S05B2,2058,0.102812349
REGION1,ATSODIFH1,S05B2,2059,0.102812349
REGION1,ATSODIFH1,S05B2,2060,0.102812349
REGION1,ATSODIFH1,S05B3,2015,0.0
REGION1,ATSODIFH1,S05B3,2016,0.0
REGION1,ATSODIFH1,S05B3,2017,0.0
REGION1,ATSODIFH1,S05B3,2018,0.0
REGION1,ATSODIFH1,S05B3,2019,0.0
REGION1,ATSODIFH1,S05B3,2020,0.0
REGION1,ATSODIFH1,S05B3,2021,0.0
REGION1,ATSODIFH1,S05B3,2022,0.0
REGION1,ATSODIFH1,S05B3,2023,0.0
REGION1,ATSODIFH1,S05B3,2024,0.0
REGION1,ATSODIFH1,S05B3,2025,0.0
REGION1,ATSODIFH1,S05B3,2026,0.0
REGION1,ATSODIFH1,S05B3,2027,0.0
REGION1,ATSODIFH1,S05B3,2028,0.0
REGION1,ATSODIFH1,S05B3,2029,0.0
REGION1,ATSODIFH1,S05B3,2030,0.0
REGION1,ATSODIFH1,S05B3,2031,0.0
REGION1,ATSODIFH1,S05B3,2032,0.0
REGION1,ATSODIFH1,S05B3,2033,0.0
REGION1,ATSODIFH1,S05B3,2034,0.0
REGION1,ATSODIFH1,S05B3,2035,0.0
REGION1,ATSODIFH1,S05B3,2036,0.0
REGION1,ATSODIFH1,S05B3,2037,0.0
REGION1,ATSODIFH1,S05B3,2038,0.0
REGION1,ATSODIFH1,S05B3,2039,0.0
REGION1,ATSODIFH1,S05B3,2040,0.0
REGION1,ATSODIFH1,S05B3,2041,0.0
REGION1,ATSODIFH1,S05B3,2042,0.0
REGION1,ATSODIFH1,S05B3,2043,0.0
REGION1,ATSODIFH1,S05B3,2044,0.0
REGION1,ATSODIFH1,S05B3,2045,0.0
REGION1,ATSODIFH1,S05B3,2046,0.0
REGION1,ATSODIFH1,S05B3,2047,0.0
REGION1,ATSODIFH1,S05B3,2048,0.0
REGION1,ATSODIFH1,S05B3,2049,0.0
REGION1,ATSODIFH1,S05B3,2050,0.0
REGION1,ATSODIFH1,S05B3,2051,0.0
REGION1,ATSODIFH1,S05B3,2052,0.0
REGION1,ATSODIFH1,S05B3,2053,0.0
REGION1,ATSODIFH1,S05B3,2054,0.0
REGION1,ATSODIFH1,S05B3,2055,0.0
REGION1,ATSODIFH1,S05B3,2056,0.0
REGION1,ATSODIFH1,S05B3,2057,0.0
REGION1,ATSODIFH1,S05B3,2058,0.0
REGION1,ATSODIFH1,S05B3,2059,0.0
REGION1,ATSODIFH1,S05B3,2060,0.0
REGION1,ATSOUTPH2,S01B1,2015,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2016,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2017,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2018,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2019,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2020,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2021,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2022,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2023,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2024,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2025,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2026,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2027,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2028,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2029,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2030,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2031,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2032,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2033,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2034,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2035,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2036,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2037,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2038,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2039,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2040,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2041,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2042,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2043,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2044,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2045,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2046,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2047,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2048,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2049,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2050,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2051,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2052,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2053,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2054,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2055,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2056,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2057,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2058,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2059,2.78483e-05
REGION1,ATSOUTPH2,S01B1,2060,2.78483e-05
REGION1,ATSOUTPH2,S01B2,2015,0.149591195
REGION1,ATSOUTPH2,S01B2,2016,0.149591195
REGION1,ATSOUTPH2,S01B2,2017,0.149591195
REGION1,ATSOUTPH2,S01B2,2018,0.149591195
REGION1,ATSOUTPH2,S01B2,2019,0.149591195
REGION1,ATSOUTPH2,S01B2,2020,0.149591195
REGION1,ATSOUTPH2,S01B2,2021,0.149591195
REGION1,ATSOUTPH2,S01B2,2022,0.149591195
REGION1,ATSOUTPH2,S01B2,2023,0.149591195
REGION1,ATSOUTPH2,S01B2,2024,0.149591195
REGION1,ATSOUTPH2,S01B2,2025,0.149591195
REGION1,ATSOUTPH2,S01B2,2026,0.149591195
REGION1,ATSOUTPH2,S01B2,2027,0.149591195
REGION1,ATSOUTPH2,S01B2,2028,0.149591195
REGION1,ATSOUTPH2,S01B2,2029,0.149591195
REGION1,ATSOUTPH2,S01B2,2030,0.149591195
REGION1,ATSOUTPH2,S01B2,2031,0.149591195
REGION1,ATSOUTPH2,S01B2,2032,0.149591195
REGION1,ATSOUTPH2,S01B2,2033,0.149591195
REGION1,ATSOUTPH2,S01B2,2034,0.149591195
REGION1,ATSOUTPH2,S01B2,2035,0.149591195
REGION1,ATSOUTPH2,S01B2,2036,0.149591195
REGION1,ATSOUTPH2,S01B2,2037,0.149591195
REGION1,ATSOUTPH2,S01B2,2038,0.149591195
REGION1,ATSOUTPH2,S01B2,2039,0.149591195
REGION1,ATSOUTPH2,S01B2,2040,0.149591195
REGION1,ATSOUTPH2,S01B2,2041,0.149591195
REGION1,ATSOUTPH2,S01B2,2042,0.149591195
REGION1,ATSOUTPH2,S01B2,2043,0.149591195
REGION1,ATSOUTPH2,S01B2,2044,0.149591195
REGION1,ATSOUTPH2,S01B2,2045,0.149591195
REGION1,ATSOUTPH2,S01B2,2046,0.149591195
REGION1,ATSOUTPH2,S01B2,2047,0.149591195
REGION1,ATSOUTPH2,S01B2,2048,0.149591195
REGION1,ATSOUTPH2,S01B2,2049,0.149591195
REGION1,ATSOUTPH2,S01B2,2050,0.149591195
REGION1,ATSOUTPH2,S01B2,2051,0.149591195
REGION1,ATSOUTPH2,S01B2,2052,0.149591195
REGION1,ATSOUTPH2,S01B2,2053,0.149591195
REGION1,ATSOUTPH2,S01B2,2054,0.149591195
REGION1,ATSOUTPH2,S01B2,2055,0.149591195
REGION1,ATSOUTPH2,S01B2,2056,0.149591195
REGION1,ATSOUTPH2,S01B2,2057,0.149591195
REGION1,ATSOUTPH2,S01B2,2058,0.149591195
REGION1,ATSOUTPH2,S01B2,2059,0.149591195
REGION1,ATSOUTPH2,S01B2,2060,0.149591195
REGION1,ATSOUTPH2,S01B3,2015,0.0
REGION1,ATSOUTPH2,S01B3,2016,0.0
REGION1,ATSOUTPH2,S01B3,2017,0.0
REGION1,ATSOUTPH2,S01B3,2018,0.0
REGION1,ATSOUTPH2,S01B3,2019,0.0
REGION1,ATSOUTPH2,S01B3,2020,0.0
REGION1,ATSOUTPH2,S01B3,2021,0.0
REGION1,ATSOUTPH2,S01B3,2022,0.0
REGION1,ATSOUTPH2,S01B3,2023,0.0
REGION1,ATSOUTPH2,S01B3,2024,0.0
REGION1,ATSOUTPH2,S01B3,2025,0.0
REGION1,ATSOUTPH2,S01B3,2026,0.0
REGION1,ATSOUTPH2,S01B3,2027,0.0
REGION1,ATSOUTPH2,S01B3,2028,0.0
REGION1,ATSOUTPH2,S01B3,2029,0.0
REGION1,ATSOUTPH2,S01B3,2030,0.0
REGION1,ATSOUTPH2,S01B3,2031,0.0
REGION1,ATSOUTPH2,S01B3,2032,0.0
REGION1,ATSOUTPH2,S01B3,2033,0.0
REGION1,ATSOUTPH2,S01B3,2034,0.0
REGION1,ATSOUTPH2,S01B3,2035,0.0
REGION1,ATSOUTPH2,S01B3,2036,0.0
REGION1,ATSOUTPH2,S01B3,2037,0.0
REGION1,ATSOUTPH2,S01B3,2038,0.0
REGION1,ATSOUTPH2,S01B3,2039,0.0
REGION1,ATSOUTPH2,S01B3,2040,0.0
REGION1,ATSOUTPH2,S01B3,2041,0.0
REGION1,ATSOUTPH2,S01B3,2042,0.0
REGION1,ATSOUTPH2,S01B3,2043,0.0
REGION1,ATSOUTPH2,S01B3,2044,0.0
REGION1,ATSOUTPH2,S01B3,2045,0.0
REGION1,ATSOUTPH2,S01B3,2046,0.0
REGION1,ATSOUTPH2,S01B3,2047,0.0
REGION1,ATSOUTPH2,S01B3,2048,0.0
REGION1,ATSOUTPH2,S01B3,2049,0.0
REGION1,ATSOUTPH2,S01B3,2050,0.0
REGION1,ATSOUTPH2,S01B3,2051,0.0
REGION1,ATSOUTPH2,S01B3,2052,0.0
REGION1,ATSOUTPH2,S01B3,2053,0.0
REGION1,ATSOUTPH2,S01B3,2054,0.0
REGION1,ATSOUTPH2,S01B3,2055,0.0
REGION1,ATSOUTPH2,S01B3,2056,0.0
REGION1,ATSOUTPH2,S01B3,2057,0.0
REGION1,ATSOUTPH2,S01B3,2058,0.0
REGION1,ATSOUTPH2,S01B3,2059,0.0
REGION1,ATSOUTPH2,S01B3,2060,0.0
REGION1,ATSOUTPH2,S02B1,2015,0.005477717
REGION1,ATSOUTPH2,S02B1,2016,0.005477717
REGION1,ATSOUTPH2,S02B1,2017,0.005477717
REGION1,ATSOUTPH2,S02B1,2018,0.005477717
REGION1,ATSOUTPH2,S02B1,2019,0.005477717
REGION1,ATSOUTPH2,S02B1,2020,0.005477717
REGION1,ATSOUTPH2,S02B1,2021,0.005477717
REGION1,ATSOUTPH2,S02B1,2022,0.005477717
REGION1,ATSOUTPH2,S02B1,2023,0.005477717
REGION1,ATSOUTPH2,S02B1,2024,0.005477717
REGION1,ATSOUTPH2,S02B1,2025,0.005477717
REGION1,ATSOUTPH2,S02B1,2026,0.005477717
REGION1,ATSOUTPH2,S02B1,2027,0.005477717
REGION1,ATSOUTPH2,S02B1,2028,0.005477717
REGION1,ATSOUTPH2,S02B1,2029,0.005477717
REGION1,ATSOUTPH2,S02B1,2030,0.005477717
REGION1,ATSOUTPH2,S02B1,2031,0.005477717
REGION1,ATSOUTPH2,S02B1,2032,0.005477717
REGION1,ATSOUTPH2,S02B1,2033,0.005477717
REGION1,ATSOUTPH2,S02B1,2034,0.005477717
REGION1,ATSOUTPH2,S02B1,2035,0.005477717
REGION1,ATSOUTPH2,S02B1,2036,0.005477717
REGION1,ATSOUTPH2,S02B1,2037,0.005477717
REGION1,ATSOUTPH2,S02B1,2038,0.005477717
REGION1,ATSOUTPH2,S02B1,2039,0.005477717
REGION1,ATSOUTPH2,S02B1,2040,0.005477717
REGION1,ATSOUTPH2,S02B1,2041,0.005477717
REGION1,ATSOUTPH2,S02B1,2042,0.005477717
REGION1,ATSOUTPH2,S02B1,2043,0.005477717
REGION1,ATSOUTPH2,S02B1,2044,0.005477717
REGION1,ATSOUTPH2,S02B1,2045,0.005477717
REGION1,ATSOUTPH2,S02B1,2046,0.005477717
REGION1,ATSOUTPH2,S02B1,2047,0.005477717
REGION1,ATSOUTPH2,S02B1,2048,0.005477717
REGION1,ATSOUTPH2,S02B1,2049,0.005477717
REGION1,ATSOUTPH2,S02B1,2050,0.005477717
REGION1,ATSOUTPH2,S02B1,2051,0.005477717
REGION1,ATSOUTPH2,S02B1,2052,0.005477717
REGION1,ATSOUTPH2,S02B1,2053,0.005477717
REGION1,ATSOUTPH2,S02B1,2054,0.005477717
REGION1,ATSOUTPH2,S02B1,2055,0.005477717
REGION1,ATSOUTPH2,S02B1,2056,0.005477717
REGION1,ATSOUTPH2,S02B1,2057,0.005477717
REGION1,ATSOUTPH2,S02B1,2058,0.005477717
REGION1,ATSOUTPH2,S02B1,2059,0.005477717
REGION1,ATSOUTPH2,S02B1,2060,0.005477717
REGION1,ATSOUTPH2,S02B2,2015,0.226450306
REGION1,ATSOUTPH2,S02B2,2016,0.226450306
REGION1,ATSOUTPH2,S02B2,2017,0.226450306
REGION1,ATSOUTPH2,S02B2,2018,0.226450306
REGION1,ATSOUTPH2,S02B2,2019,0.226450306
REGION1,ATSOUTPH2,S02B2,2020,0.226450306
REGION1,ATSOUTPH2,S02B2,2021,0.226450306
REGION1,ATSOUTPH2,S02B2,2022,0.226450306
REGION1,ATSOUTPH2,S02B2,2023,0.226450306
REGION1,ATSOUTPH2,S02B2,2024,0.226450306
REGION1,ATSOUTPH2,S02B2,2025,0.226450306
REGION1,ATSOUTPH2,S02B2,2026,0.226450306
REGION1,ATSOUTPH2,S02B2,2027,0.226450306
REGION1,ATSOUTPH2,S02B2,2028,0.226450306
REGION1,ATSOUTPH2,S02B2,2029,0.226450306
REGION1,ATSOUTPH2,S02B2,2030,0.226450306
REGION1,ATSOUTPH2,S02B2,2031,0.226450306
REGION1,ATSOUTPH2,S02B2,2032,0.226450306
REGION1,ATSOUTPH2,S02B2,2033,0.226450306
REGION1,ATSOUTPH2,S02B2,2034,0.226450306
REGION1,ATSOUTPH2,S02B2,2035,0.226450306
REGION1,ATSOUTPH2,S02B2,2036,0.226450306
REGION1,ATSOUTPH2,S02B2,2037,0.226450306
REGION1,ATSOUTPH2,S02B2,2038,0.226450306
REGION1,ATSOUTPH2,S02B2,2039,0.226450306
REGION1,ATSOUTPH2,S02B2,2040,0.226450306
REGION1,ATSOUTPH2,S02B2,2041,0.226450306
REGION1,ATSOUTPH2,S02B2,2042,0.226450306
REGION1,ATSOUTPH2,S02B2,2043,0.226450306
REGION1,ATSOUTPH2,S02B2,2044,0.226450306
REGION1,ATSOUTPH2,S02B2,2045,0.226450306
REGION1,ATSOUTPH2,S02B2,2046,0.226450306
REGION1,ATSOUTPH2,S02B2,2047,0.226450306
REGION1,ATSOUTPH2,S02B2,2048,0.226450306
REGION1,ATSOUTPH2,S02B2,2049,0.226450306
REGION1,ATSOUTPH2,S02B2,2050,0.226450306
REGION1,ATSOUTPH2,S02B2,2051,0.226450306
REGION1,ATSOUTPH2,S02B2,2052,0.226450306
REGION1,ATSOUTPH2,S02B2,2053,0.226450306
REGION1,ATSOUTPH2,S02B2,2054,0.226450306
REGION1,ATSOUTPH2,S02B2,2055,0.226450306
REGION1,ATSOUTPH2,S02B2,2056,0.226450306
REGION1,ATSOUTPH2,S02B2,2057,0.226450306
REGION1,ATSOUTPH2,S02B2,2058,0.226450306
REGION1,ATSOUTPH2,S02B2,2059,0.226450306
REGION1,ATSOUTPH2,S02B2,2060,0.226450306
REGION1,ATSOUTPH2,S02B3,2015,0.0
REGION1,ATSOUTPH2,S02B3,2016,0.0
REGION1,ATSOUTPH2,S02B3,2017,0.0
REGION1,ATSOUTPH2,S02B3,2018,0.0
REGION1,ATSOUTPH2,S02B3,2019,0.0
REGION1,ATSOUTPH2,S02B3,2020,0.0
REGION1,ATSOUTPH2,S02B3,2021,0.0
REGION1,ATSOUTPH2,S02B3,2022,0.0
REGION1,ATSOUTPH2,S02B3,2023,0.0
REGION1,ATSOUTPH2,S02B3,2024,0.0
REGION1,ATSOUTPH2,S02B3,2025,0.0
REGION1,ATSOUTPH2,S02B3,2026,0.0
REGION1,ATSOUTPH2,S02B3,2027,0.0
REGION1,ATSOUTPH2,S02B3,2028,0.0
REGION1,ATSOUTPH2,S02B3,2029,0.0
REGION1,ATSOUTPH2,S02B3,2030,0.0
REGION1,ATSOUTPH2,S02B3,2031,0.0
REGION1,ATSOUTPH2,S02B3,2032,0.0
REGION1,ATSOUTPH2,S02B3,2033,0.0
REGION1,ATSOUTPH2,S02B3,2034,0.0
REGION1,ATSOUTPH2,S02B3,2035,0.0
REGION1,ATSOUTPH2,S02B3,2036,0.0
REGION1,ATSOUTPH2,S02B3,2037,0.0
REGION1,ATSOUTPH2,S02B3,2038,0.0
REGION1,ATSOUTPH2,S02B3,2039,0.0
REGION1,ATSOUTPH2,S02B3,2040,0.0
REGION1,ATSOUTPH2,S02B3,2041,0.0
REGION1,ATSOUTPH2,S02B3,2042,0.0
REGION1,ATSOUTPH2,S02B3,2043,0.0
REGION1,ATSOUTPH2,S02B3,2044,0.0
REGION1,ATSOUTPH2,S02B3,2045,0.0
REGION1,ATSOUTPH2,S02B3,2046,0.0
REGION1,ATSOUTPH2,S02B3,2047,0.0
REGION1,ATSOUTPH2,S02B3,2048,0.0
REGION1,ATSOUTPH2,S02B3,2049,0.0
REGION1,ATSOUTPH2,S02B3,2050,0.0
REGION1,ATSOUTPH2,S02B3,2051,0.0
REGION1,ATSOUTPH2,S02B3,2052,0.0
REGION1,ATSOUTPH2,S02B3,2053,0.0
REGION1,ATSOUTPH2,S02B3,2054,0.0
REGION1,ATSOUTPH2,S02B3,2055,0.0
REGION1,ATSOUTPH2,S02B3,2056,0.0
REGION1,ATSOUTPH2,S02B3,2057,0.0
REGION1,ATSOUTPH2,S02B3,2058,0.0
REGION1,ATSOUTPH2,S02B3,2059,0.0
REGION1,ATSOUTPH2,S02B3,2060,0.0
REGION1,ATSOUTPH2,S03B1,2015,0.005894781
REGION1,ATSOUTPH2,S03B1,2016,0.005894781
REGION1,ATSOUTPH2,S03B1,2017,0.005894781
REGION1,ATSOUTPH2,S03B1,2018,0.005894781
REGION1,ATSOUTPH2,S03B1,2019,0.005894781
REGION1,ATSOUTPH2,S03B1,2020,0.005894781
REGION1,ATSOUTPH2,S03B1,2021,0.005894781
REGION1,ATSOUTPH2,S03B1,2022,0.005894781
REGION1,ATSOUTPH2,S03B1,2023,0.005894781
REGION1,ATSOUTPH2,S03B1,2024,0.005894781
REGION1,ATSOUTPH2,S03B1,2025,0.005894781
REGION1,ATSOUTPH2,S03B1,2026,0.005894781
REGION1,ATSOUTPH2,S03B1,2027,0.005894781
REGION1,ATSOUTPH2,S03B1,2028,0.005894781
REGION1,ATSOUTPH2,S03B1,2029,0.005894781
REGION1,ATSOUTPH2,S03B1,2030,0.005894781
REGION1,ATSOUTPH2,S03B1,2031,0.005894781
REGION1,ATSOUTPH2,S03B1,2032,0.005894781
REGION1,ATSOUTPH2,S03B1,2033,0.005894781
REGION1,ATSOUTPH2,S03B1,2034,0.005894781
REGION1,ATSOUTPH2,S03B1,2035,0.005894781
REGION1,ATSOUTPH2,S03B1,2036,0.005894781
REGION1,ATSOUTPH2,S03B1,2037,0.005894781
REGION1,ATSOUTPH2,S03B1,2038,0.005894781
REGION1,ATSOUTPH2,S03B1,2039,0.005894781
REGION1,ATSOUTPH2,S03B1,2040,0.005894781
REGION1,ATSOUTPH2,S03B1,2041,0.005894781
REGION1,ATSOUTPH2,S03B1,2042,0.005894781
REGION1,ATSOUTPH2,S03B1,2043,0.005894781
REGION1,ATSOUTPH2,S03B1,2044,0.005894781
REGION1,ATSOUTPH2,S03B1,2045,0.005894781
REGION1,ATSOUTPH2,S03B1,2046,0.005894781
